timestamp,stall,product,price_xaf
2026-04-22 11:56:19,1,tomato,498.63
2026-04-22 11:56:19,1,milk,623.29
2026-04-22 11:56:19,1,tilapia,1246.59
2026-04-22 11:56:19,1,banana,373.98
2026-04-22 11:56:19,2,tomato,498.63
2026-04-22 11:56:19,2,milk,623.29
2026-04-22 11:56:19,2,tilapia,1246.59
2026-04-22 11:56:19,2,banana,373.98
2026-04-22 11:56:19,3,tomato,498.63
2026-04-22 11:56:19,3,milk,623.29
2026-04-22 11:56:19,3,tilapia,1246.59
2026-04-22 11:56:19,3,banana,373.98
2026-04-22 11:56:19,4,tomato,498.63
2026-04-22 11:56:19,4,milk,623.29
2026-04-22 11:56:19,4,tilapia,1246.59
2026-04-22 11:56:19,4,banana,373.98
2026-04-22 11:56:19,5,tomato,498.63
2026-04-22 11:56:19,5,milk,623.29
2026-04-22 11:56:19,5,tilapia,1246.59
2026-04-22 11:56:19,5,banana,373.98
2026-04-22 11:56:19,6,tomato,498.63
2026-04-22 11:56:19,6,milk,623.29
2026-04-22 11:56:19,6,tilapia,1246.59
2026-04-22 11:56:19,6,banana,373.98
2026-04-22 11:56:19,7,tomato,498.63
2026-04-22 11:56:19,7,milk,623.29
2026-04-22 11:56:19,7,tilapia,1246.59
2026-04-22 11:56:19,7,banana,373.98
2026-04-22 11:56:19,8,tomato,498.63
2026-04-22 11:56:19,8,milk,623.29
2026-04-22 11:56:19,8,tilapia,1246.59
2026-04-22 11:56:19,8,banana,373.98
2026-04-22 11:56:19,9,tomato,498.63
2026-04-22 11:56:19,9,milk,623.29
2026-04-22 11:56:19,9,tilapia,1246.59
2026-04-22 11:56:19,9,banana,373.98
2026-04-22 11:56:19,10,tomato,498.63
2026-04-22 11:56:19,10,milk,623.29
2026-04-22 11:56:19,10,tilapia,1246.59
2026-04-22 11:56:19,10,banana,373.98
2026-04-22 11:56:19,11,tomato,498.63
2026-04-22 11:56:19,11,milk,623.29
2026-04-22 11:56:19,11,tilapia,1246.59
2026-04-22 11:56:19,11,banana,373.98
2026-04-22 11:56:19,12,tomato,498.63
2026-04-22 11:56:19,12,milk,623.29
2026-04-22 11:56:19,12,tilapia,1246.59
2026-04-22 11:56:19,12,banana,373.98
2026-04-22 12:26:19,1,tomato,480.0
2026-04-22 12:26:19,1,milk,600.0
2026-04-22 12:26:19,1,tilapia,1200.0
2026-04-22 12:26:19,1,banana,360.0
2026-04-22 12:26:19,2,tomato,480.0
2026-04-22 12:26:19,2,milk,600.0
2026-04-22 12:26:19,2,tilapia,1200.0
2026-04-22 12:26:19,2,banana,360.0
2026-04-22 12:26:19,3,tomato,480.0
2026-04-22 12:26:19,3,milk,600.0
2026-04-22 12:26:19,3,tilapia,1200.0
2026-04-22 12:26:19,3,banana,360.0
2026-04-22 12:26:19,4,tomato,480.0
2026-04-22 12:26:19,4,milk,600.0
2026-04-22 12:26:19,4,tilapia,1200.0
2026-04-22 12:26:19,4,banana,360.0
2026-04-22 12:26:19,5,tomato,480.0
2026-04-22 12:26:19,5,milk,600.0
2026-04-22 12:26:19,5,tilapia,1200.0
